Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1979.486.1,False,False,1,American Decorative Arts,Coin,One-dollar Liberty Head Coin,,,,,,Maker,,James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",,"Longacre, James Barton",American,"1794      ","1869      ",1853,1853,1853,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/1,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1980.264.5,False,False,2,American Decorative Arts,Coin,Ten-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785–1844,,"Gobrecht, Christian",,"1785      ","1844      ",1901,1901,1901,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1980",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/2,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
67.265.9,False,False,3,American Decorative Arts,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love, Jr., 1967",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/3,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
67.265.10,False,False,4,American Decorative Arts,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love, Jr., 1967",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/4,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
67.265.11,False,False,5,American Decorative Arts,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love, Jr., 1967",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/5,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
67.265.12,False,False,6,American Decorative Arts,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love, Jr., 1967",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/6,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
67.265.13,False,False,7,American Decorative Arts,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love, Jr., 1967",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/7,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
67.265.14,False,False,8,American Decorative Arts,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love, Jr., 1967",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/8,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
67.265.15,False,False,9,American Decorative Arts,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love, Jr., 1967",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/9,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1979.486.3,False,False,10,American Decorative Arts,Coin,Two-and-a-half-dollar Indian Head Coin,,,,,,Maker,,Bela Lyon Pratt,1867–1917,,"Pratt, Bela Lyon",,"1867      ","1917      ",1912,1912,1912,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/10,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1979.486.2,False,False,11,American Decorative Arts,Coin,Two-and-a-half-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785–1844,,"Gobrecht, Christian",,"1785      ","1844      ",1907,1907,1907,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/11,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1979.486.7,False,False,12,American Decorative Arts,Coin,Twenty-dollar Liberty Head Coin,,,,,,Maker,,James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",,"Longacre, James Barton",American,"1794      ","1869      ",1876,1876,1876,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/12,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1979.486.4,False,False,13,American Decorative Arts,Coin,Five-dollar Indian Head Coin,,,,,,Maker,,Bela Lyon Pratt,1867–1917,,"Pratt, Bela Lyon",,"1867      ","1917      ",1910,1910,1910,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1979.486.5,False,False,14,American Decorative Arts,Coin,Five-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785–1844,,"Gobrecht, Christian",,"1785      ","1844      ",1907,1907,1907,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/14,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.49,False,False,15,American Paintings and Sculpture,Coin,"Coin, 1/2 Real",,,,,,,,,,,,,,,1665–1700,1665,1700,Silver,Diam. 1/2 in. (1.3 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/15,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.27,False,False,16,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,Artist,,Mexican Artist,,,"Mexican, Artist",,,,1800–1900,1800,1900,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/16,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.28,False,False,17,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,Artist,,Mexican Artist,,,"Mexican, Artist",,,,1867,1867,1867,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/17,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.29,False,False,18,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,Artist,,Mexican Artist,,,"Mexican, Artist",,,,1860,1860,1860,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/18,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.30,False,False,19,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,,,,,,,,,,1859,1859,1859,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/19,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.31,False,False,20,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,,,,,,,,,,1860,1860,1860,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/20,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.32,False,False,21,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,,,,,,,,,,1859,1859,1859,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/21,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.43,False,False,22,American Paintings and Sculpture,Coin,"Coin, 1/4 Real",,,,,,,,,,,,,,,1881,1881,1881,Silver,Diam. 1/2 in. (1.3 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Guatemala,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/22,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
16.74.44,False,False,23,American Paintings and Sculpture,Coin,"Coin, 1/4 Real",,,,,,,,,,,,,,,1878,1878,1878,Silver,Diam. 1/2 in. (1.3 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Guatemala,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/23,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
